time,n1,n2,weight
1940,Bulgaria,Romania,2.0
1940,Romania,Bulgaria,1.0
1941,Romania,Bulgaria,1.0
1941,Bulgaria,Romania,3.0
1941,Hungary,Russia,2.0
1942,Bulgaria,Romania,7.0
1942,Russia,Hungary,1.0
1942,Romania,Bulgaria,4.0
1943,Bulgaria,Romania,11.0
1943,Russia,Hungary,1.0
1943,Romania,Bulgaria,4.0
1943,Hungary,Russia,2.0
1944,Romania,Bulgaria,2.0
1944,Bulgaria,Romania,8.0
1945,Bulgaria,Greece,1.0
1945,Hungary,Russia,1.0
1945,Romania,Bulgaria,3.0
1945,Bulgaria,Romania,4.0
1946,Bulgaria,Romania,1.0
1946,Romania,Bulgaria,2.0
1946,Russia,Hungary,12.0
1946,Hungary,Russia,10.0
1946,Bulgaria,Greece,1.0
1947,Bulgaria,Romania,1.0
1947,Hungary,Russia,16.0
1947,Russia,Hungary,14.0
1947,Romania,Bulgaria,1.0
1948,Romania,Yugoslavia,2.0
1948,Greece,Yugoslavia,1.0
1948,Norway,Italy,29.0
1948,Sweden,Bulgaria,1.0
1948,Ireland,Denmark,1.0
1948,Russia,Sweden,17.0
1948,Russia,Portugal,1.0
1948,Ireland,Sweden,10.0
1948,Denmark,Sweden,47.0
1948,Portugal,Netherlands,10.0
1948,Poland,Italy,20.0
1948,Greece,France,6.0
1948,Portugal,Italy,5.0
1948,Romania,Poland,5.0
1948,Yugoslavia,Bulgaria,5.0
1948,Spain,France,3.0
1948,Portugal,Spain,3.0
1948,Greece,Portugal,1.0
1948,Denmark,Portugal,2.0
1948,Norway,France,34.0
1948,Sweden,Yugoslavia,8.0
1948,Sweden,Portugal,5.0
1948,Yugoslavia,Sweden,5.0
1948,Bulgaria,Yugoslavia,4.0
1948,Sweden,Spain,15.0
1948,Spain,Norway,6.0
1948,Hungary,Italy,3.0
1948,Portugal,Norway,8.0
1948,France,Bulgaria,2.0
1948,Hungary,Yugoslavia,25.0
1948,Netherlands,Spain,14.0
1948,Netherlands,Greece,2.0
1948,Russia,Norway,19.0
1948,Netherlands,France,92.0
1948,Sweden,Poland,81.0
1948,Italy,Yugoslavia,19.0
1948,Italy,Netherlands,23.0
1948,Ireland,France,5.0
